구분,총 계,2015년 이전 설치된 CCTV ,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
계,"113,273","9,702","8,827","10,108","10,594","12,562","11,865","9,358","9,397","13,857","17,003"
종로구,"2,339",146,76,115,137,68,231,86,234,924,322
중 구,"3,118",356,219,366,385,159,352,416,137,135,593
용산구,"3,609",24,124,454,119,335,625,431,457,411,629
성동구,"4,638","1,295",228,881,383,477,386,294,170,320,204
광진구,"4,636",247,38,660,465,710,194,744,276,348,954
동대문구,"3,846",0,"1,563",136,197,209,223,197,234,509,578
중랑구,"5,392",541,160,182,209,"1,070",992,604,346,433,855
성북구,"4,906",338,394,386,766,667,209,407,363,415,961
강북구,"3,584",41,195,1,349,938,545,408,652,375,80
도봉구,"2,808",0,3,71,136,146,154,545,540,638,575
노원구,"4,105",404,293,156,206,314,383,213,161,623,"1,352"
은평구,"5,683",834,487,355,578,974,391,519,483,441,621
서대문구,"4,218",225,551,553,385,343,595,216,498,433,419
마포구,"3,809",132,453,368,364,494,298,177,124,827,572
양천구,"4,854",73,414,557,823,322,346,355,388,993,583
강서구,"3,874",475,165,410,259,454,362,440,601,424,284
구로구,"5,694",14,256,535,534,784,749,684,336,484,"1,318"
금천구,"3,458",92,130,196,539,366,514,207,304,825,285
영등포구,"5,133",621,284,354,769,66,"1,307",288,434,437,573
동작구,"3,664",549,228,261,298,312,430,31,359,427,769
관악구,"6,614",935,601,668,662,889,402,550,138,744,"1,025"
서초구,"6,036",679,511,"1,019",416,332,419,565,882,469,744
강남구,"8,352",590,"1,119",918,721,735,909,571,527,923,"1,339"
송파구,"4,665",366,133,233,517,"1,042",235,148,372,940,679
강동구,"4,238",725,202,273,377,356,614,262,381,359,689
